Index,Value
1,8
2,7
3,5
4,5
5,5
6,7
7,5
8,7
9,8
10,4
11,6
12,4
13,6
14,7
15,5
16,5
17,4
18,6
19,5
20,7
21,6
22,4
23,8
24,4
25,8
26,6
27,9
28,7
29,4
30,6
31,8
32,7
33,6
34,6
35,4
36,6
37,4
38,6
39,6
40,6
41,3
42,9
43,7
44,5
45,8
46,6
47,8
48,5
49,7
50,6
51,6
52,5
53,5
54,5
55,9
56,5
57,7
58,8
59,5
60,8
61,5
62,6
63,6
64,5
65,7
66,8
67,5
68,8
69,9
70,5
71,7
72,6
73,7
74,8
75,4
76,6
77,3
78,3
79,7
80,5
81,6
82,8
83,5
84,7
85,7
86,6
87,5
88,7
89,6
90,5
91,5
92,6
93,6
94,6
95,5
96,4
97,6
98,7
99,7
100,4
101,8
102,9
103,8
104,7
105,4
106,6
107,7
108,4
109,3
110,4
111,6
112,7
113,6
114,6
115,9
116,6
117,6
118,7
119,6
120,4
121,8
122,5
123,8
124,8
125,8
126,4
127,4
128,8
129,6
130,6
131,7
132,5
133,7
134,4
135,3
136,4
137,9
138,5
139,7
140,8
141,5
142,8
143,3
144,6
145,7
146,4
147,7
148,4
149,7
150,3
151,5
152,8
153,6
154,7
155,7
156,8
157,5
158,6
159,8
160,4
161,6
162,4
163,6
164,5
165,9
166,8
167,8
168,7
169,7
170,4
171,8
172,6
173,5
174,2
175,8
176,9
177,4
178,7
179,5
180,6
181,6
182,5
183,6
184,5
185,5
186,8
187,7
188,6
189,5
190,6
191,5
192,6
193,5
194,8
195,7
196,7
197,6
198,5
199,5
200,8
201,5
202,4
203,7
204,7
205,6
206,6
207,7
208,7
209,6
210,6
211,5
212,5
213,8
214,5
215,7
216,6
217,8
218,5
219,7
220,5
221,3
222,6
223,8
224,6
225,5
226,6
227,5
228,6
229,10
230,4
231,8
232,5
233,7
234,3
235,7
236,6
237,6
238,5
239,5
240,4
241,8
242,8
243,5
244,7
245,6
246,4
247,6
248,7
249,7
250,5
251,7
252,7
253,5
254,6
255,6
256,5
257,8
258,7
259,5
260,9
261,5
262,7
263,4
264,7
265,3
266,6
267,7
268,7
269,7
270,3
271,7
272,5
273,4
274,8
275,7
276,6
277,7
278,6
279,7
280,6
281,7
282,5
283,6
284,7
285,7
286,5
287,7
288,7
289,4
290,8
291,5
292,10
293,4
294,7
295,5
296,7
297,7
298,6
299,7
300,6
301,8
302,6
303,7
304,3
305,5
306,6
307,5
308,7
309,5
310,7
311,3
312,5
313,5
314,6
315,9
316,8
317,7
318,5
319,6
320,8
321,5
322,7
323,5
324,6
325,7
326,4
327,6
328,4
329,6
330,4
331,4
332,7
333,7
334,8
