Index,Value
1,7
2,7
3,5
4,5
5,8
6,7
7,5
8,7
9,7
10,6
11,5
12,5
13,6
14,5
15,7
16,7
17,3
18,7
19,3
20,7
21,7
22,5
23,7
24,7
25,6
26,6
27,6
28,7
29,6
30,6
31,6
32,8
33,7
34,7
35,6
36,8
37,5
38,8
39,7
40,7
41,5
42,7
43,8
44,6
45,8
46,6
47,6
48,9
49,5
50,7
51,6
52,7
53,6
54,5
55,6
56,8
57,7
58,5
59,6
60,7
61,5
62,6
63,6
64,5
65,4
66,6
67,6
68,6
69,7
70,4
71,4
72,6
73,5
74,4
75,8
76,6
77,4
78,7
79,8
80,5
81,5
82,6
83,5
84,5
85,6
86,5
87,6
88,6
89,8
90,7
91,7
92,1
93,9
94,5
95,6
96,7
97,10
98,8
99,4
100,5
101,3
102,4
103,5
104,6
105,5
106,6
107,5
108,7
109,5
110,6
111,6
112,5
113,5
114,7
115,7
116,6
117,7
118,8
119,5
120,6
121,5
122,7
123,8
124,7
125,8
126,7
127,5
128,5
129,7
130,5
131,8
132,6
133,3
134,6
135,6
136,7
137,5
138,4
139,7
140,6
141,8
142,5
143,6
144,6
145,3
146,5
147,4
148,7
149,5
150,2
151,4
152,4
153,7
154,5
155,7
156,8
157,7
158,6
159,5
160,8
161,3
162,5
163,5
164,6
165,3
166,7
167,5
168,5
169,6
170,7
171,8
172,7
173,5
174,6
175,5
176,6
177,6
178,6
179,6
180,7
181,5
182,8
183,9
184,5
185,3
186,7
187,6
188,4
189,4
190,7
191,7
192,5
193,4
194,2
195,5
196,2
197,6
198,3
199,8
200,4
201,5
202,6
203,6
204,4
205,4
206,6
207,7
208,5
209,7
210,8
211,8
212,7
213,5
214,6
215,8
216,6
217,7
218,6
219,4
220,7
221,5
222,6
223,7
224,6
225,5
226,7
227,6
228,7
229,9
230,8
231,6
232,6
233,7
234,7
235,4
236,4
237,6
238,4
239,7
240,7
241,7
242,6
243,6
244,4
245,7
246,8
247,7
248,7
249,7
250,7
251,7
252,8
253,7
254,6
255,3
256,5
257,6
258,5
259,5
260,4
261,5
262,6
263,4
264,5
265,9
266,7
267,5
268,6
269,7
270,7
271,6
272,5
273,7
274,3
275,8
276,7
277,5
278,5
279,6
280,6
281,2
282,7
283,5
284,8
285,4
286,8
287,6
288,7
289,4
290,2
291,3
292,9
293,5
294,8
295,4
296,6
297,7
298,7
299,4
300,5
301,2
302,5
303,5
304,7
305,5
306,7
307,6
308,7
309,6
310,6
311,9
312,7
313,3
314,5
315,3
316,4
317,6
318,4
319,9
320,8
321,8
322,7
323,7
324,6
325,6
326,7
327,3
328,4
329,8
330,9
331,8
332,5
333,6
334,9
