Index,Value
1,2
2,2
3,2
4,2
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,2
16,9
17,8
18,2
19,2
20,2
21,2
22,1
23,1
24,1
25,3
26,4
27,5
28,4
29,6
30,1
31,2
32,1
33,2
34,1
35,1
36,2
37,3
38,1
39,1
40,2
41,2
42,3
43,3
44,6
45,2
46,4
47,4
48,3
49,2
50,1
51,3
52,1
53,1
54,8
55,3
56,3
57,2
58,1
59,1
60,2
61,6
62,2
63,3
64,10
65,5
66,13
67,4
68,8
69,2
70,4
71,1
72,1
73,2
74,7
75,2
76,2
77,1
78,3
79,3
80,4
81,4
82,4
83,1
84,6
85,2
86,4
87,4
88,6
89,4
90,3
91,3
92,2
93,2
94,7
95,2
96,5
97,4
98,4
99,1
100,1
101,2
102,2
103,1
104,1
105,1
106,3
107,2
108,3
109,4
110,1
111,2
112,1
113,1
114,7
115,4
116,1
117,3
118,1
119,2
120,1
121,1
122,1
123,3
124,2
125,7
126,4
127,1
128,2
129,3
130,7
131,2
132,3
133,1
134,1
135,1
136,3
137,1
138,3
139,4
140,4
141,2
142,2
143,3
144,1
145,6
146,1
147,4
148,1
149,7
150,1
151,2
152,6
153,4
154,1
155,5
156,2
157,1
158,3
159,6
160,1
161,5
162,3
163,3
164,4
165,5
166,2
167,2
168,2
169,2
170,4
171,1
172,3
173,1
174,3
175,2
176,3
177,1
178,1
179,3
180,5
181,1
182,1
183,1
184,5
185,1
186,1
187,4
188,8
189,4
190,4
191,1
192,3
193,1
194,1
195,1
196,2
197,1
198,1
199,3
200,2
201,3
202,1
203,1
204,1
205,8
206,1
207,3
208,2
209,5
210,2
211,4
212,1
213,2
214,1
215,9
216,1
217,2
218,4
219,1
220,1
221,1
222,1
223,2
224,1
225,1
226,8
227,6
228,5
229,2
230,2
231,2
232,1
233,6
234,2
235,2
236,3
237,3
238,7
239,2
240,2
241,3
242,1
243,3
244,2
245,3
246,2
247,5
248,2
249,5
250,6
251,3
252,1
253,1
254,1
255,1
256,3
257,3
258,9
259,2
260,1
261,4
262,1
263,6
264,10
265,5
266,1
267,6
268,3
