Index,Value
1,8
2,5
3,2
4,4
5,6
6,8
7,0
8,2
9,4
10,1
11,3
12,4
13,5
14,8
15,4
16,3
17,6
18,2
19,3
20,1
21,4
22,4
23,2
24,8
25,5
26,7
27,5
28,3
29,6
30,2
31,3
32,6
33,3
34,3
35,4
36,5
37,1
38,4
39,5
40,3
41,3
42,4
43,3
44,8
45,6
46,1
47,3
48,3
49,5
50,4
51,2
52,5
53,3
54,5
55,1
56,2
57,5
58,3
59,1
60,4
61,7
62,1
63,2
64,4
65,2
66,3
67,2
68,5
69,4
70,8
71,7
72,4
73,2
74,1
75,1
76,5
77,4
78,6
79,5
80,9
81,4
82,2
83,3
84,4
85,8
86,5
87,3
88,8
89,4
90,8
91,4
92,2
93,4
94,6
95,4
96,3
97,4
98,3
99,1
100,8
101,2
102,1
103,5
104,2
105,9
106,4
107,4
108,7
109,8
110,3
111,4
112,5
113,4
114,4
115,2
116,5
117,7
118,9
119,3
120,4
121,0
122,4
123,3
124,5
125,1
126,8
127,5
128,8
129,2
130,3
131,3
132,5
133,3
134,5
135,3
136,3
137,5
138,2
139,3
140,5
141,1
142,4
143,6
144,5
145,2
146,3
147,6
148,2
149,5
150,4
151,3
152,2
153,3
154,5
155,3
156,0
157,5
158,1
159,6
160,5
161,2
162,5
163,3
164,5
165,5
166,5
167,2
168,1
169,5
170,4
171,4
172,8
173,8
174,4
175,4
176,1
177,5
178,4
179,4
180,3
181,5
182,1
183,8
184,4
185,5
186,3
187,4
188,3
189,5
190,4
191,2
192,3
193,4
194,5
195,3
196,3
197,5
198,3
199,5
200,3
201,5
202,3
203,4
204,5
205,2
206,3
207,6
208,4
209,2
210,3
211,4
212,3
213,3
214,3
215,6
216,1
217,2
218,6
219,6
220,7
221,4
222,2
223,2
224,4
225,6
226,2
227,6
228,1
229,2
230,6
231,4
232,2
233,5
234,5
235,2
236,3
237,4
238,4
239,4
240,4
241,1
242,5
243,7
244,7
245,6
246,2
247,4
248,3
249,10
250,2
251,2
252,7
253,2
254,2
255,4
256,3
257,5
258,4
259,0
260,2
261,4
262,8
263,7
264,1
265,5
266,3
267,3
268,4
269,3
270,3
271,1
272,4
273,6
274,3
275,7
276,4
277,4
278,1
279,3
280,0
281,5
282,5
283,1
284,8
285,5
286,3
287,7
288,2
289,3
290,3
291,5
292,2
293,2
294,0
295,5
296,3
297,6
298,4
299,7
300,4
301,3
302,5
303,3
304,4
305,11
306,3
307,4
308,8
309,4
310,6
311,5
312,4
313,2
314,3
315,7
316,7
317,5
318,2
319,4
320,6
321,7
322,3
323,3
324,2
325,3
326,3
327,4
328,4
329,9
330,3
331,4
332,5
333,7
334,2
335,5
336,3
337,4
338,7
339,3
340,7
341,1
342,5
343,3
344,2
345,5
346,5
347,10
348,3
349,2
350,4
351,5
352,5
353,6
354,4
355,5
356,3
357,4
358,5
359,2
360,7
361,2
362,4
363,1
364,3
365,4
366,3
367,6
368,3
369,2
370,3
371,4
372,2
373,5
374,3
375,4
376,2
377,8
378,6
379,3
380,4
381,7
382,3
383,3
384,2
385,5
386,4
387,6
388,7
389,4
390,4
391,1
392,8
393,4
394,8
395,3
396,3
397,3
398,4
399,2
400,4
401,4
402,0
403,5
404,7
405,4
406,4
407,5
408,8
409,8
410,4
411,3
412,8
413,6
414,4
415,5
416,3
417,6
418,4
419,4
420,1
421,2
422,4
423,5
424,3
425,2
426,6
427,4
428,3
429,3
430,1
431,1
432,5
433,4
434,5
435,3
436,4
437,5
438,2
439,6
440,3
441,5
442,4
443,5
444,6
445,3
446,5
447,2
448,1
449,2
450,7
451,4
452,2
453,7
454,6
455,4
456,4
457,4
458,5
459,5
460,1
461,6
462,5
463,6
464,3
465,5
466,5
467,3
468,1
469,4
470,7
471,5
472,4
473,4
474,4
475,5
476,3
477,6
478,3
479,7
480,3
481,6
482,4
483,3
484,3
485,3
486,6
487,4
488,6
489,3
490,4
491,1
492,5
493,6
494,2
495,1
496,7
497,7
498,4
499,6
500,4
501,4
502,5
503,4
504,5
505,7
506,3
507,4
508,4
509,6
510,6
511,5
512,4
513,3
514,2
515,1
516,0
517,3
518,2
519,5
520,5
521,7
522,0
523,4
524,4
525,3
526,4
527,2
528,3
529,2
530,4
531,4
532,3
533,4
534,6
535,2
536,3
537,3
538,3
539,3
540,7
541,5
542,5
543,5
544,1
545,6
546,6
547,3
548,2
549,6
550,8
551,5
552,3
553,3
554,3
555,1
556,5
557,6
558,10
559,2
560,2
561,4
562,8
563,6
564,5
565,5
566,8
567,3
568,4
569,3
570,3
571,3
572,4
573,4
574,3
575,7
576,5
577,1
578,4
579,2
580,7
581,5
582,4
583,1
584,7
585,5
586,5
