Index,Value
1,3
2,5
3,6
4,2
5,5
6,3
7,2
8,2
9,3
10,3
11,3
12,1
13,6
14,4
15,3
16,3
17,2
18,3
19,5
20,3
21,2
22,7
23,6
24,3
25,4
26,4
27,3
28,4
29,6
30,9
31,5
32,7
33,2
34,5
35,3
36,0
37,7
38,1
39,3
40,6
41,5
42,2
43,7
44,3
45,1
46,1
47,3
48,6
49,0
50,4
51,7
52,7
53,3
54,4
55,7
56,6
57,4
58,4
59,7
60,5
61,2
62,2
63,4
64,9
65,9
66,7
67,0
68,3
69,5
70,1
71,4
72,2
73,3
74,4
75,4
76,3
77,7
78,2
79,3
80,5
81,5
82,7
83,6
84,2
85,1
86,3
87,1
88,1
89,2
90,6
91,4
92,3
93,5
94,3
95,7
96,2
97,5
98,4
99,2
100,6
101,4
102,2
103,2
104,3
105,7
106,3
107,6
108,1
109,7
110,2
111,4
112,7
113,3
114,5
115,3
116,3
117,6
118,2
119,0
120,2
121,3
122,6
123,3
124,5
125,1
126,4
127,4
128,2
129,2
130,5
131,7
132,3
133,6
134,4
135,4
136,5
137,3
138,3
139,4
140,3
141,3
142,9
143,8
144,4
145,5
146,4
147,2
148,5
149,3
150,8
151,7
152,7
153,4
154,5
155,2
156,6
157,3
158,1
159,4
160,3
161,0
162,5
163,4
164,3
165,7
166,4
167,5
168,4
169,3
170,3
171,5
172,6
173,4
174,3
175,5
176,0
177,4
178,2
179,5
180,6
181,7
182,5
183,3
184,3
185,2
186,5
187,5
188,3
189,4
190,5
191,4
192,7
193,3
194,1
195,3
196,5
197,5
198,3
199,8
200,3
201,6
202,4
203,6
204,4
205,3
206,5
207,4
208,4
209,6
210,5
211,6
212,11
213,5
214,4
215,4
216,8
217,0
218,2
219,2
220,5
221,4
222,2
223,2
224,2
225,6
226,4
227,6
228,5
229,3
230,7
231,3
232,1
233,4
234,4
235,4
236,6
237,2
238,3
239,6
240,2
241,5
242,5
243,4
244,2
245,7
246,2
247,3
248,5
249,9
250,2
251,6
252,5
253,2
254,2
255,8
256,4
257,4
258,7
259,4
260,4
261,1
262,5
263,2
264,2
265,4
266,3
267,7
268,3
269,1
270,3
271,6
272,4
273,7
274,1
275,3
276,4
277,6
278,2
279,7
280,3
281,1
282,3
283,4
284,2
285,6
286,2
287,8
288,6
289,3
290,5
291,0
292,4
293,6
294,3
295,1
296,6
297,6
298,3
299,5
300,5
301,3
302,3
303,4
304,7
305,3
306,2
307,2
308,2
309,3
310,2
311,3
312,0
313,9
314,1
315,4
316,2
317,5
318,4
319,6
320,9
321,6
322,3
323,2
324,3
325,2
326,7
327,8
328,3
329,2
330,4
331,0
332,2
333,10
334,2
335,6
336,5
337,5
338,7
339,6
340,3
341,2
342,4
343,5
344,3
345,4
346,2
347,7
348,3
349,5
350,6
351,7
352,3
353,3
354,4
355,7
356,5
357,5
358,4
359,5
360,8
361,5
362,4
363,9
364,4
365,3
366,1
367,7
368,3
369,4
370,1
371,1
372,3
373,2
374,3
375,3
376,5
377,3
378,4
379,2
380,7
381,7
382,4
383,2
384,0
385,4
386,3
387,5
388,1
389,2
390,3
391,6
392,4
393,5
394,3
395,4
396,7
397,3
398,5
399,7
400,3
401,6
402,2
403,6
404,1
405,2
406,3
407,0
408,4
409,3
410,6
411,4
412,7
413,5
414,7
415,6
416,2
417,0
418,4
419,4
420,6
421,5
422,6
423,5
424,5
425,4
426,3
427,1
428,5
429,5
430,5
431,2
432,6
433,3
434,7
435,3
436,3
437,2
438,1
439,5
440,3
441,2
442,4
443,9
444,0
445,3
446,2
447,4
448,5
449,4
450,4
451,1
452,1
453,4
454,6
455,5
456,3
457,5
458,5
459,3
460,4
461,3
462,5
463,4
464,4
465,4
466,4
467,2
468,5
469,5
470,9
471,5
472,5
473,3
474,6
475,2
476,4
477,5
478,6
479,1
480,3
481,5
482,4
483,6
484,3
485,7
486,4
487,2
488,0
489,3
490,7
491,2
492,4
493,1
494,5
495,3
496,1
497,3
498,4
499,8
500,3
501,5
502,2
503,2
504,6
505,8
506,10
507,8
508,4
509,3
510,7
511,2
512,1
513,2
514,1
515,4
516,5
517,3
518,8
519,4
520,4
521,9
522,5
523,3
524,3
525,4
526,3
527,3
528,3
529,4
530,5
531,8
532,3
533,3
534,5
535,3
536,6
537,2
538,4
539,6
540,5
541,11
542,3
543,5
544,7
545,3
546,4
547,3
548,5
549,5
550,1
551,2
552,2
553,2
554,3
555,1
556,3
557,5
558,5
559,3
560,0
561,1
562,6
563,3
564,5
565,6
566,4
567,5
568,3
569,4
570,3
571,3
572,2
573,4
574,1
575,4
576,6
577,3
578,3
579,7
580,2
581,3
582,5
583,2
584,4
585,4
586,1
587,2
588,3
589,9
590,5
591,1
592,3
593,4
594,4
595,2
596,5
597,4
598,2
599,3
600,2
601,3
602,5
603,6
604,5
605,8
606,6
607,5
608,4
609,6
610,1
611,6
612,3
613,2
614,4
615,3
616,4
617,7
618,6
619,5
620,4
621,4
622,6
623,5
624,4
625,7
626,3
627,5
628,5
629,5
630,2
631,4
632,6
633,4
634,3
635,5
636,7
637,6
638,6
