Index,Value
1,6
2,1
3,3
4,8
5,8
6,6
7,6
8,4
9,8
10,3
11,7
12,7
13,10
14,9
15,4
16,6
17,3
18,7
19,6
20,5
21,7
22,7
23,2
24,6
25,5
26,6
27,7
28,6
29,5
30,8
31,6
32,3
33,2
34,5
35,5
36,7
37,5
38,7
39,10
40,3
41,5
42,7
43,10
44,4
45,7
46,8
47,5
48,5
49,5
50,6
51,9
52,11
53,3
54,7
55,6
56,4
57,11
58,8
59,8
60,5
61,3
62,3
63,5
64,5
65,5
66,2
67,2
68,7
69,4
70,6
71,4
72,5
73,4
74,5
75,6
76,5
77,9
78,7
79,4
80,4
81,5
82,7
83,5
84,3
85,5
86,7
87,7
88,9
89,1
90,5
91,11
92,6
93,10
94,3
95,3
96,5
97,3
98,11
99,4
100,2
101,5
102,5
103,5
104,11
105,10
106,4
107,8
108,2
109,4
110,8
111,6
112,8
113,7
114,5
115,5
116,9
117,6
118,3
119,3
120,6
121,3
122,9
123,2
124,7
125,3
126,3
127,5
128,4
129,2
130,9
131,7
132,9
133,3
134,6
135,12
136,6
137,5
138,7
139,5
140,5
141,6
142,7
143,6
144,9
145,3
146,7
147,4
148,4
149,1
150,6
151,4
152,7
153,9
154,4
155,9
156,3
157,4
158,6
159,4
160,7
161,4
162,0
163,8
164,1
165,6
166,5
167,3
168,7
169,5
170,5
171,6
172,10
173,2
174,9
175,6
176,5
177,8
178,4
179,6
180,3
181,3
182,10
183,6
184,1
185,4
186,11
187,5
188,7
189,8
190,9
191,6
192,4
193,7
194,6
195,5
196,9
197,8
198,6
199,4
200,7
201,4
202,9
203,5
204,4
205,9
206,2
207,6
208,10
209,2
210,3
211,3
212,11
213,6
214,7
215,7
216,8
217,8
218,6
219,3
220,7
221,9
222,3
223,10
224,3
225,10
226,2
227,6
228,4
229,3
230,6
231,9
232,4
233,6
234,6
235,1
236,9
237,5
238,7
239,10
240,8
241,7
242,7
243,8
244,6
245,8
246,4
247,4
248,5
249,12
250,6
251,4
252,4
253,3
254,6
255,4
256,9
257,5
258,6
259,4
260,3
261,4
262,1
263,7
264,3
265,4
266,10
267,5
268,10
269,6
270,4
271,4
272,9
273,4
274,7
275,7
276,7
277,7
278,4
279,5
280,5
281,3
282,6
283,4
284,3
285,5
286,9
287,1
288,6
289,8
290,5
291,4
292,4
293,5
294,9
295,5
296,10
297,7
298,7
299,9
300,6
301,8
302,4
303,7
304,7
305,4
306,6
307,9
308,4
309,4
310,6
311,10
312,9
313,3
314,8
315,6
316,5
317,4
318,3
319,4
320,6
321,10
322,4
323,3
324,8
325,5
326,7
327,5
328,9
329,5
330,6
331,8
332,3
333,5
334,10
335,9
336,7
337,6
338,5
339,1
340,3
341,8
342,1
343,6
344,7
345,2
346,12
347,10
348,3
349,6
350,8
351,2
352,7
353,4
354,1
355,0
356,5
357,5
358,4
359,5
360,10
361,10
362,2
363,4
364,6
365,7
366,2
367,4
368,5
369,1
370,6
371,7
372,9
373,5
374,9
375,3
376,7
377,4
378,4
379,2
380,4
381,8
382,3
383,9
384,5
385,5
386,7
387,7
388,6
389,10
390,5
391,12
392,6
393,5
394,9
395,4
396,0
397,3
398,5
399,3
400,7
401,11
402,8
403,5
404,3
405,2
406,7
407,9
408,6
409,6
410,8
411,3
412,6
413,6
414,7
415,11
416,6
417,3
418,7
419,8
420,7
421,6
422,5
423,1
424,10
425,4
426,6
427,5
428,8
429,4
430,11
431,12
432,6
433,6
434,6
435,9
436,4
437,6
438,7
439,6
440,6
441,10
442,10
443,6
444,10
445,3
446,4
447,3
448,13
449,9
450,7
451,8
452,8
453,4
454,5
455,6
456,4
457,9
458,4
459,7
460,2
461,12
462,8
463,5
464,7
465,6
466,3
467,8
468,6
469,6
470,7
471,7
472,4
473,8
474,5
475,8
476,3
477,6
478,7
479,6
480,12
481,6
482,4
483,7
484,7
485,6
486,4
487,3
488,11
489,6
490,9
491,5
492,3
493,7
494,9
495,11
496,9
497,9
498,5
499,7
500,5
501,6
502,12
503,5
504,7
505,6
506,8
507,7
508,9
509,2
510,5
511,2
512,3
513,5
514,6
515,4
516,7
517,6
518,9
519,5
520,10
521,6
522,9
523,8
524,4
525,5
526,7
527,6
528,8
529,4
530,1
531,7
532,6
533,6
534,5
535,5
536,4
537,12
538,4
539,4
540,4
541,8
542,4
543,7
544,5
545,3
546,3
547,4
548,9
549,5
550,9
551,6
552,4
553,6
554,4
555,6
556,3
557,5
558,4
559,7
560,7
561,8
562,4
563,8
564,6
565,4
566,5
567,6
568,13
569,6
570,4
571,7
572,2
573,5
574,3
575,10
576,8
577,3
578,8
579,4
580,2
581,4
582,6
583,5
584,3
585,5
586,6
587,9
588,6
589,5
590,5
591,6
592,8
593,6
594,7
595,5
596,3
597,9
598,5
599,4
600,5
601,4
602,6
603,3
604,6
605,9
606,8
607,5
608,6
609,6
610,6
611,9
612,7
613,3
614,2
615,7
616,9
617,7
618,7
619,4
620,7
621,6
622,2
623,9
624,5
625,5
626,8
627,9
628,4
629,8
630,7
631,6
632,7
633,7
634,8
635,4
636,5
637,6
638,7
639,10
640,7
641,6
642,11
643,8
644,3
645,8
646,5
647,5
648,5
649,6
650,8
651,6
652,3
653,3
654,4
655,4
656,9
657,2
658,4
659,8
660,11
661,6
662,6
663,1
664,3
665,6
666,7
667,5
668,7
669,9
670,3
671,7
672,7
673,2
674,6
675,7
676,9
677,12
678,8
679,2
680,3
681,8
682,3
683,5
684,4
685,5
686,4
687,6
688,9
689,5
690,4
691,8
692,10
693,5
694,4
695,7
696,8
697,4
698,4
699,6
700,7
701,4
702,4
703,5
704,11
705,4
706,6
707,8
708,2
709,7
710,5
711,8
712,8
713,6
714,2
715,6
716,4
717,8
718,6
719,6
720,6
721,8
722,3
723,7
724,4
725,7
726,3
727,4
728,10
729,11
730,4
731,6
732,4
733,8
734,3
735,5
736,10
737,7
738,6
739,5
740,7
741,8
742,4
743,7
744,6
745,3
746,4
747,4
748,9
749,5
750,8
751,3
752,9
753,14
754,4
755,2
756,5
757,7
758,4
759,2
760,5
761,8
762,4
763,7
764,3
765,10
766,6
767,8
768,6
769,2
770,14
771,10
772,2
773,9
774,6
775,9
776,10
777,10
778,6
779,10
780,4
781,2
782,6
783,2
784,11
785,3
786,5
787,7
788,6
789,6
790,5
791,3
792,3
793,1
794,5
795,10
796,8
797,7
798,4
799,10
800,2
801,8
802,4
803,6
804,7
805,7
806,6
807,6
808,5
809,5
810,3
811,3
812,7
813,6
814,9
815,9
816,8
817,8
818,2
819,6
820,5
821,5
822,5
823,2
824,9
825,5
826,12
827,7
828,5
829,2
830,7
831,4
832,7
833,5
834,5
835,8
836,4
837,8
838,5
839,3
840,7
841,8
842,7
843,5
844,11
845,3
846,7
847,11
848,7
849,5
850,5
851,4
852,5
853,5
854,1
855,2
856,6
857,7
858,5
859,9
860,4
861,9
862,5
863,8
864,10
865,4
866,8
867,8
868,6
869,2
870,3
871,5
872,6
873,2
874,5
875,4
876,8
877,8
878,7
879,5
880,5
881,7
882,5
883,6
884,10
885,4
886,5
887,6
888,10
889,7
890,6
891,4
892,9
893,9
894,5
895,4
896,6
897,10
898,4
899,6
900,4
901,5
902,9
903,3
904,6
905,3
906,10
907,5
908,5
909,5
910,5
911,5
912,5
913,8
914,6
915,5
916,7
917,9
918,3
919,5
920,5
921,7
922,4
923,5
924,8
925,5
926,8
927,7
928,4
929,3
930,6
931,12
932,5
933,6
934,10
935,9
936,9
937,7
938,7
939,12
940,7
941,5
942,8
943,2
944,7
945,5
946,8
947,8
948,7
949,10
