Index,Value
1,24
2,4
3,1
4,10
5,2
6,5
7,2
8,9
9,3
10,2
11,11
12,10
13,8
14,3
15,8
16,4
17,5
18,9
19,4
20,6
21,1
22,1
23,6
24,5
25,1
26,2
27,1
28,5
29,20
30,1
31,2
32,25
33,7
34,2
35,1
36,15
37,2
38,4
39,1
40,1
41,4
42,4
43,4
44,1
45,1
46,1
47,1
48,2
49,3
50,2
51,3
52,11
53,3
54,19
55,8
56,4
57,12
58,1
59,2
60,1
61,12
62,2
63,6
64,1
65,4
66,5
67,1
68,4
69,5
70,5
71,6
72,32
73,14
74,7
75,4
76,11
77,2
78,3
79,1
80,2
81,2
82,6
83,5
84,4
85,8
86,11
87,17
88,4
89,10
90,4
91,4
92,6
93,10
94,4
95,1
96,3
97,7
98,1
99,8
100,3
101,5
102,1
103,2
104,7
105,1
106,8
107,4
108,2
109,5
110,4
111,15
112,9
113,1
114,1
115,2
116,1
117,4
118,3
119,1
120,6
121,3
122,2
123,20
124,3
125,1
126,2
127,3
128,9
129,6
130,6
131,2
132,2
133,6
134,9
135,2
136,5
137,2
138,13
139,15
140,10
141,1
142,6
143,3
144,5
145,6
146,1
147,4
148,7
149,2
150,3
151,2
152,3
153,3
154,8
155,10
156,3
157,2
158,1
159,2
160,1
161,1
162,1
163,11
164,4
165,2
166,1
167,6
168,5
169,2
170,2
171,2
172,4
173,3
174,6
175,7
176,2
177,4
178,3
179,12
180,2
181,3
182,2
183,1
184,8
185,2
186,4
187,10
188,5
189,4
190,3
191,1
192,12
193,3
194,2
195,3
196,3
197,4
198,2
199,1
200,3
201,6
202,9
203,10
204,1
205,2
206,8
207,1
208,10
209,8
210,1
211,12
212,11
213,5
214,5
215,1
216,2
217,18
218,7
219,2
220,14
221,2
222,2
223,2
224,12
225,8
226,2
227,13
228,1
229,7
230,1
231,8
232,2
233,12
234,5
235,3
236,2
237,4
238,5
239,17
240,1
241,16
242,2
243,1
244,8
245,5
246,9
247,6
248,2
249,3
250,6
251,9
252,2
253,2
254,1
255,5
256,10
257,4
258,3
259,2
260,10
261,1
262,1
263,5
264,4
265,1
266,1
267,7
268,8
269,20
270,1
