Index,Value
1,6
2,4
3,3
4,2
5,5
6,11
7,1
8,3
9,2
10,17
11,1
12,3
13,6
14,1
15,1
16,2
17,2
18,2
19,4
20,2
21,5
22,4
23,1
24,2
25,1
26,4
27,8
28,1
29,8
30,3
31,1
32,1
33,6
34,1
35,1
36,2
37,2
38,2
39,1
40,7
41,2
42,2
43,4
44,3
45,6
46,3
47,4
48,2
49,3
50,1
51,1
52,6
53,1
54,1
55,4
56,6
57,1
58,1
59,1
60,2
61,8
62,1
63,2
64,11
65,1
66,5
67,6
68,1
69,4
70,6
71,2
72,6
73,1
74,1
75,5
76,2
77,3
78,4
79,1
80,2
81,4
82,1
83,2
84,4
85,2
86,12
87,2
88,1
89,5
90,3
91,9
92,1
93,2
94,2
95,1
96,1
97,1
98,4
99,3
100,3
101,4
102,1
103,1
104,1
105,1
106,2
107,8
108,3
109,1
110,2
111,11
112,3
113,3
114,7
115,2
116,4
117,1
118,4
119,1
120,1
121,1
122,4
123,1
124,2
125,3
126,5
127,1
128,3
129,1
130,1
131,3
132,1
133,3
134,1
135,2
136,1
137,2
138,2
139,1
140,3
141,2
142,1
143,2
144,1
145,1
146,2
147,4
148,4
149,2
150,2
151,1
152,4
153,2
154,3
155,4
156,4
157,4
158,1
159,4
160,5
161,2
162,4
163,3
164,2
165,5
166,7
167,1
168,7
169,1
170,1
171,1
172,1
173,4
174,3
175,6
176,1
177,7
178,5
179,4
180,1
181,1
182,5
183,5
184,6
185,4
186,4
187,1
188,5
189,2
190,1
191,3
192,3
193,1
194,2
195,3
196,3
197,2
198,1
199,2
200,6
201,4
202,2
203,5
204,1
205,1
206,5
207,3
208,1
209,2
210,3
211,1
212,2
213,2
214,2
215,2
216,2
217,1
218,4
219,3
220,1
221,5
222,3
223,4
224,3
225,8
226,3
227,4
228,1
229,1
230,1
231,1
232,5
233,2
234,1
235,2
236,4
237,5
238,2
239,3
240,2
241,1
242,1
243,9
244,1
245,5
246,2
247,1
248,3
249,4
250,1
251,2
252,1
253,1
254,1
255,4
256,1
257,1
258,5
259,5
260,2
261,4
262,3
263,8
264,9
265,4
266,1
267,5
268,2
269,1
270,2
271,1
272,2
273,3
274,4
275,3
276,2
277,1
278,10
279,1
280,3
281,1
282,3
283,1
284,4
285,1
286,1
287,2
288,2
289,2
290,5
291,2
292,1
293,2
294,2
295,3
296,6
297,2
298,1
299,3
300,1
301,1
302,2
303,2
304,3
305,1
306,4
307,3
308,1
309,4
310,2
311,4
312,3
313,1
314,6
315,2
316,1
317,1
318,8
319,2
320,1
321,3
322,2
323,2
324,5
325,9
326,2
327,1
328,1
329,1
330,3
331,3
332,2
333,2
334,3
335,1
336,2
337,1
338,1
339,1
340,4
341,1
342,7
343,1
344,3
345,5
346,2
347,2
348,1
349,1
350,4
351,1
352,1
353,7
354,4
355,1
356,3
357,2
358,3
359,4
360,2
361,4
362,2
363,2
364,10
365,2
366,1
367,7
368,2
369,3
370,1
371,1
372,4
373,6
374,1
375,2
376,1
377,12
378,8
379,3
380,1
381,2
382,6
383,5
384,1
385,1
386,1
387,6
388,4
389,3
390,10
391,2
392,5
393,1
394,2
395,4
396,2
397,3
398,4
399,3
400,5
401,1
402,5
403,2
404,1
405,3
406,3
407,7
408,1
409,1
410,4
411,3
412,1
413,3
414,1
415,5
416,10
417,3
418,5
419,2
420,1
421,14
422,3
423,3
424,3
425,1
426,2
427,5
428,1
429,1
430,3
431,1
432,3
433,6
434,4
435,2
436,1
437,2
438,2
439,3
440,2
441,8
442,6
443,5
444,3
445,8
446,3
447,2
448,1
449,9
450,2
451,2
452,1
453,1
454,1
455,2
456,1
457,5
458,1
459,1
460,1
461,5
462,1
463,3
464,2
465,3
466,1
467,1
468,1
469,4
470,1
471,3
472,1
473,3
474,1
475,2
476,1
477,2
478,4
479,1
480,2
481,2
482,6
483,2
484,5
485,2
486,1
487,2
488,1
489,4
490,4
491,1
492,2
493,7
494,1
495,2
496,6
497,5
498,6
499,2
500,7
501,11
502,3
503,8
504,1
505,2
506,2
507,5
508,2
509,3
510,1
511,2
512,1
513,3
514,10
515,4
516,4
517,3
518,7
519,4
520,5
521,2
522,4
523,1
524,5
525,1
526,7
527,1
528,1
529,1
530,5
531,3
532,1
533,4
534,2
535,1
536,1
537,5
538,3
539,2
540,2
541,3
542,10
543,7
544,5
545,1
546,2
547,3
548,4
549,4
550,3
551,5
552,5
553,3
554,1
555,3
556,1
557,5
558,2
559,1
560,2
561,9
562,1
563,1
564,1
565,5
566,1
567,5
568,1
569,2
570,2
571,4
572,1
573,3
574,2
575,2
576,1
577,5
578,4
579,2
580,1
581,3
582,5
583,2
584,4
585,3
586,3
587,1
588,1
589,1
590,1
591,3
592,3
593,2
594,2
595,1
596,5
597,4
598,1
599,4
600,2
601,7
602,2
603,3
604,3
605,2
606,1
607,2
608,3
609,5
610,2
611,1
612,1
613,6
614,3
615,2
616,1
617,2
618,1
619,1
620,3
621,4
622,1
623,2
624,4
625,1
626,1
627,4
628,8
629,3
630,7
631,3
632,2
633,1
634,1
635,2
636,3
637,1
638,2
639,5
640,2
641,4
642,1
643,7
644,3
645,1
646,2
647,1
648,2
649,4
650,1
651,1
652,1
653,3
654,1
655,1
656,2
657,6
658,2
659,1
660,1
661,5
662,1
663,3
664,1
665,5
666,5
667,1
668,3
669,4
670,6
671,5
672,1
673,3
674,1
675,2
676,1
677,9
678,1
679,1
680,1
681,2
682,2
683,1
684,1
685,1
686,3
687,2
688,1
689,1
690,1
691,4
692,4
693,1
694,2
695,4
696,2
697,1
698,1
699,5
700,2
701,2
702,1
703,2
704,11
705,9
706,2
707,2
708,3
709,1
710,5
711,1
712,5
713,2
714,1
715,2
716,1
717,3
718,4
719,1
720,2
721,1
722,2
723,4
724,1
725,2
726,4
727,1
728,1
729,7
730,1
731,6
732,2
733,2
734,4
735,1
736,2
737,1
738,3
739,3
740,1
741,1
742,4
743,3
744,2
745,6
746,2
747,2
748,2
749,8
750,5
751,1
752,1
753,3
754,1
755,1
756,1
757,1
758,2
759,1
760,2
761,1
762,1
763,6
764,2
765,3
766,2
767,3
768,1
769,5
770,2
771,2
772,5
773,1
774,1
775,5
776,2
777,4
778,2
779,1
780,1
781,1
782,3
783,2
784,4
785,1
786,4
787,1
788,1
789,1
790,4
791,1
792,1
793,1
794,1
795,1
796,9
797,5
798,1
799,3
800,13
801,6
802,4
803,1
804,1
805,1
806,3
807,2
808,3
809,4
810,1
811,1
812,5
813,4
814,1
815,1
816,1
817,1
818,1
819,4
820,2
821,2
822,2
823,1
824,6
825,1
826,2
827,3
828,2
829,2
830,5
831,1
832,3
833,2
834,2
835,3
836,7
837,1
838,3
839,4
840,8
841,1
842,6
843,3
844,1
845,5
846,1
847,3
848,2
849,2
850,2
851,1
852,4
853,4
854,1
855,7
856,1
857,2
858,1
859,4
860,1
861,1
862,3
863,4
864,4
865,1
866,9
867,2
868,1
869,2
870,1
871,9
872,1
873,4
874,1
875,1
876,1
877,9
878,1
879,2
880,3
881,8
882,2
883,1
884,2
885,5
886,1
887,1
888,1
889,1
890,3
891,1
892,4
893,6
894,2
895,6
896,2
897,3
898,2
899,1
900,2
901,1
902,3
903,5
904,1
905,1
906,1
907,4
908,1
909,3
910,3
911,1
912,1
913,2
914,4
915,3
916,1
917,1
918,2
919,4
920,3
921,1
922,2
923,3
924,2
925,2
926,2
927,3
928,5
929,3
930,3
931,3
932,1
933,9
934,10
935,1
936,7
937,6
938,1
939,4
940,2
941,3
942,5
943,3
944,5
945,1
946,1
947,3
948,1
949,1
950,2
951,4
952,1
953,4
954,4
955,3
956,2
957,5
958,1
959,1
960,3
961,3
962,1
963,2
964,4
965,1
966,1
967,1
968,3
969,2
970,2
971,1
972,1
973,3
974,2
975,5
976,1
977,2
978,1
979,1
980,4
981,1
982,1
983,11
984,4
985,1
986,3
987,1
988,1
989,1
990,2
991,10
992,1
993,1
994,4
995,1
996,1
997,1
998,3
999,3
1000,1
